Validation_Scheme,Model,Accuracy,Sensitivity,Specificity,Precision_Pos,F1_Pos,Macro_F1,ROC_AUC,PR_AUC
Scheme A: Standard Stratified K-Fold,Logistic Regression,59.66836734693877,35.55555555555556,65.14102564102565,19.47686987934666,24.934994878893896,48.56846104041055,0.5217735042735042,0.2238889028596894
Scheme A: Standard Stratified K-Fold,Random Forest,68.28231292517006,13.333333333333332,80.73076923076923,11.307189542483659,11.726495726495727,46.02708197213046,0.4658475783475783,0.17628556137066784
Scheme A: Standard Stratified K-Fold,Support Vector Machine,74.48979591836735,15.555555555555554,87.85897435897436,16.944444444444446,16.209150326797385,50.525902805435784,0.4727421652421652,0.20761499268054956
Scheme B: Household-Grouped K-Fold,Logistic Regression,64.26870748299321,36.30952380952381,71.38464787245275,20.817316017316017,24.68022328548644,50.20273163864691,0.5329908593149011,0.2266246776225564
Scheme B: Household-Grouped K-Fold,Random Forest,72.03231292517007,16.547619047619047,84.6859360152043,20.0,17.2311348781937,50.03503018642097,0.43492454723944274,0.21768840560771063
Scheme B: Household-Grouped K-Fold,Support Vector Machine,77.79761904761905,8.69047619047619,93.8953120050681,16.666666666666664,11.3015873015873,49.212454451350794,0.45177266065332267,0.1895639733079896
Scheme C: Cluster-Grouped K-Fold,Logistic Regression,61.16735731133427,34.31818181818182,66.62997871693524,21.737320151113256,23.67921492921493,46.889812517563804,0.5506202262822816,0.2525555066635899
Scheme C: Cluster-Grouped K-Fold,Random Forest,70.82674587361836,21.31818181818182,82.10094253572515,26.636363636363633,20.694042799305958,50.87194560154347,0.47595776094787956,0.2634997833837884
Scheme C: Cluster-Grouped K-Fold,Support Vector Machine,79.12845252118969,2.5,96.8297354819094,6.666666666666666,3.6363636363636367,45.95551828979014,0.4668082543280171,0.20577299768242235
