Rule,Dataset,Cohort_N,Support_n,Coverage_%,TP,FP,Precision_Confidence_%,Recall_Yield_%
RIPPER Rule R1: [v113=31^v127=34^v116=31^b4=2^v129=31^hml20=0],"Training (Resampled, N=316)",316,56,17.72151898734177,52,4,92.85714285714286,32.91139240506329
RIPPER Rule R2: [v128=21^v129=31^14 < b19 <= 17],"Training (Resampled, N=316)",316,17,5.379746835443038,15,2,88.23529411764706,9.49367088607595
RIPPER Default Rule: [ELSE => Class 0],"Training (Resampled, N=316)",316,243,76.89873417721519,152,91,62.55144032921811,96.20253164556962
RIPPER Rule R1: [v113=31^v127=34^v116=31^b4=2^v129=31^hml20=0],Clinical Test (N=49),49,2,4.081632653061225,0,2,0.0,0.0
RIPPER Rule R2: [v128=21^v129=31^14 < b19 <= 17],Clinical Test (N=49),49,1,2.0408163265306123,0,1,0.0,0.0
RIPPER Default Rule: [ELSE => Class 0],Clinical Test (N=49),49,46,93.87755102040816,37,9,80.43478260869566,92.5
